Model,Year,Price
Aviator Reserve AWD,2020,33889.333333333336
Aviator Reserve AWD,2021,36995.0
Aviator Reserve AWD,2022,46707.25
Aviator Reserve AWD,2023,52000.0
Aviator Reserve AWD,2025,70980.0
BRZ Premium,2015,17998.0
Base,1967,49999.0
Bentayga EWB V8,2023,189800.0
Big Horn,2015,16785.666666666668
Big Horn,2016,19706.0
Big Horn,2017,21750.0
Big Horn,2018,21795.0
Big Horn,2019,24205.75
Big Horn,2020,25910.0
Big Horn,2021,31295.666666666668
Big Horn/Lone Star,2020,27443.0
Big Horn/Lone Star,2021,32243.4
Big Horn/Lone Star,2022,34182.28571428572
Big Horn/Lone Star,2023,38209.666666666664
Bighorn,2022,35998.0
Bighorn,2025,45998.0
Biscayne,1966,39995.0
Blazer 1LT,2019,21695.0
Blazer 1LT,2020,18944.0
Blazer 1LT,2021,22990.0
Blazer 2LT,2020,21160.0
Blazer 2LT,2021,22700.666666666668
Blazer 2LT,2022,24570.941176470587
Blazer 2LT,2023,26048.18181818182
Blazer 2LT,2024,26625.0
Blazer 2LT,2025,33528.0
Blazer 3LT,2021,22995.0
Blazer 3LT,2022,27355.333333333332
Blazer 3LT,2023,29407.0
Blazer Base,1990,32574.0
Blazer EV LT,2024,36988.0
Blazer EV eAWD RS,2024,38598.0
Blazer LT,2021,22749.0
Blazer Premier,2019,25777.0
Blazer Premier,2022,30997.5
Blazer Premier,2023,28467.0
Blazer RS,2019,18590.0
Blazer RS,2020,25900.0
Blazer RS,2021,28423.0
Blazer RS,2022,30635.0
Blazer RS,2023,35499.22222222222
Bolt EUV FWD 4dr Premier,2022,20980.0
Bolt EUV FWD 4dr Premier,2023,20980.0
Bolt EUV FWD LT,2022,19775.333333333332
Bolt EUV FWD LT,2023,20675.0
Bolt EUV FWD Premier,2022,20766.333333333332
Bolt EUV FWD Premier,2023,24241.333333333332
Bolt EUV LT,2023,21359.0
Bolt EUV Premier,2022,20588.0
Bolt EV 5dr Wagon Premier,2021,12980.0
Bolt EV FWD 1LT,2022,17568.0
Bolt EV LT,2017,13187.0
Bolt EV LT,2021,18998.0
Bolt EV Premier,2019,14074.0
Boss 302,2013,48800.0
Boxster S,2005,20995.0
Bronco,2021,36188.0
Bronco Badlands,2021,41525.0
Bronco Badlands,2023,53744.0
Bronco Outer Banks,2022,41374.0
Bronco Outer Banks,2023,45995.0
Bronco Sport BIG BEND,2022,24318.0
Bronco Sport Badlands,2021,23832.0
Bronco Sport Badlands,2022,27829.333333333332
Bronco Sport Badlands,2023,30726.5
Bronco Sport Badlands,2024,38997.333333333336
Bronco Sport Base,2021,22995.0
Bronco Sport Base,2022,24497.0
Bronco Sport Big Bend,2021,23522.0
Bronco Sport Big Bend,2022,24979.090909090908
